id,date,ret,mcap
06050510,2019-01-31,0.15543831,238251.2
06050510,2019-02-28,0.026694775,238251.2
06050510,2019-03-29,-0.05123794,238251.2
06050510,2019-04-30,0.10837257,238251.2
06050510,2019-05-31,-0.13015043,238251.2
06050510,2019-06-28,0.09586466,238251.2
06050510,2019-07-31,0.057931066,238251.2
06050510,2019-08-30,-0.10332465,238251.2
06050510,2019-09-30,0.066884756,238251.2
06050510,2019-10-31,0.0719918,238251.2
30231G10,2018-12-31,-0.14226413,288921.03
30231G10,2019-01-31,0.074644327,288921.03
30231G10,2019-02-28,0.08965611,288921.03
30231G10,2019-03-29,0.022396564,288921.03
30231G10,2019-04-30,-0.0064356923,288921.03
30231G10,2019-05-31,-0.10762334,288921.03
30231G10,2019-06-28,0.08280349,288921.03
30231G10,2019-07-31,-0.029622793,288921.03
30231G10,2019-08-30,-0.067374887,288921.03
30231G10,2019-09-30,0.031103969,288921.03
30231G10,2019-10-31,-0.04305339,288921.03
00206R10,2018-12-31,-0.08642763,207817.69
00206R10,2019-01-31,0.07112825,207817.69
00206R10,2019-02-28,0.035262823,207817.69
00206R10,2019-03-29,0.007712126,207817.69
00206R10,2019-04-30,0.003507614,207817.69
00206R10,2019-05-31,-0.012273848,207817.69
00206R10,2019-06-28,0.09581423,207817.69
00206R10,2019-07-31,0.031333923,207817.69
00206R10,2019-08-30,0.035535932,207817.69
00206R10,2019-09-30,0.07317078,207817.69
00206R10,2019-10-31,0.030655384,207817.69
08467070,2018-12-31,-0.064424515,502567.4
08467070,2019-01-31,0.006660819,502567.4
08467070,2019-02-28,-0.020628512,502567.4
08467070,2019-03-29,-0.0020367503,502567.4
08467070,2019-04-30,0.078749657,502567.4
08467070,2019-05-31,-0.089012985,502567.4
08467070,2019-06-28,0.07977915,502567.4
08467070,2019-07-31,-0.036309063,502567.4
08467070,2019-08-30,-0.009832978,502567.4
08467070,2019-09-30,0.022663593,502567.4
08467070,2019-10-31,0.02192092,502567.4
01609W10,2018-12-31,-0.14789253,352534.47
01609W10,2019-01-31,0.22922588,352534.47
01609W10,2019-02-28,0.08629584,352534.47
01609W10,2019-03-29,-0.003168881,352534.47
01609W10,2019-04-30,0.017100692,352534.47
01609W10,2019-05-31,-0.19566744,352534.47
01609W10,2019-06-28,0.13526737,352534.47
01609W10,2019-07-31,0.021599293,352534.47
01609W10,2019-08-30,0.011091232,352534.47
01609W10,2019-09-30,-0.044563828,352534.47
01609W10,2019-10-31,0.056449175,352534.47
43707610,2018-12-31,-0.047138395,194328.42
43707610,2019-01-31,0.068152666,194328.42
43707610,2019-02-28,0.008772373,194328.42
43707610,2019-03-29,0.043804646,194328.42
43707610,2019-04-30,0.06154561,194328.42
43707610,2019-05-31,-0.06799209,194328.42
43707610,2019-06-28,0.10260725,194328.42
